problem,num_obj,phase,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ1,9,decision,2.594548444603107,2.5412752840785338,,
DTLZ2,3,learning,0.08741179167195011,0.0839990300139678,33.936788672247914,34.089635992612415
DTLZ2,3,decision,0.017646230554364484,0.026338973734294578,25.863684221168725,25.918995245233432
DTLZ2,4,learning,1.3138983291490725,0.13524120048229898,,
DTLZ2,4,decision,2.1466497152264403,1.0316040297944051,,
DTLZ2,5,learning,0.4588780141891675,0.43204118285010984,,
DTLZ2,5,decision,0.2472623341759011,0.25787589208205136,,
DTLZ2,6,learning,0.6984804558128139,0.7244761730007993,,
DTLZ2,6,decision,0.9585747290446689,0.9809474879781932,,
DTLZ2,7,learning,0.5825609570374977,0.6201206416088082,,
DTLZ2,7,decision,4.847710711317683,1.33107607787543,,
DTLZ2,8,learning,0.47306741283105386,0.37505184855993035,,
DTLZ2,8,decision,0.3369815676095523,0.37211137088835755,,
DTLZ2,9,learning,0.3233463853952282,0.2891341922078148,,
DTLZ2,9,decision,0.9948634802309673,0.3539393176009974,,
DTLZ3,3,learning,0.09327798675431173,0.09668643032204258,33.96096854314132,34.01564877334269
DTLZ3,3,decision,0.8637686908483861,0.03100723646282489,18.447326337280728,25.88152129908867
DTLZ3,4,learning,0.2206087868318165,0.3332681185919362,,
DTLZ3,4,decision,0.17603552565055294,0.1553494126117401,,
DTLZ3,5,learning,0.2877956726334256,0.4631751134126069,,
DTLZ3,5,decision,0.2618509768974075,0.2606893301394073,,
DTLZ3,6,learning,0.5460504184998433,0.8698274987656605,,
DTLZ3,6,decision,0.21980897450721076,0.12621056861093877,,
DTLZ3,7,learning,0.3866488333149726,0.7764477387401356,,
DTLZ3,7,decision,0.43154805996268975,0.36342336325565017,,
DTLZ3,8,learning,1.0406375706082502,0.7756898850128775,,
DTLZ3,8,decision,0.14238971098644193,1.2134034299330119,,
DTLZ3,9,learning,0.4480435787740045,1.2126186343906906,,
DTLZ3,9,decision,0.35341252024107683,0.9948634802309673,,
DTLZ4,3,learning,0.08823706191892716,0.046061657328176416,32.73535289634983,32.87174911649939
DTLZ4,3,decision,0.15433461151930764,0.12111202781373552,26.112273892803188,26.43895113154443
DTLZ4,4,learning,0.12688824899513818,0.01339699252734808,,
DTLZ4,4,decision,0.19047669425568747,0.16678484411286676,,
DTLZ4,5,learning,0.11176785846663162,0.10177978981782246,,
DTLZ4,5,decision,0.09667246030195273,0.08378150260383543,,
DTLZ4,6,learning,0.8652156313218243,0.8914541626137207,,
DTLZ4,6,decision,0.23908284940841668,0.251175122862531,,
DTLZ4,7,learning,4.369297908258684,0.4233722024585379,,
