problem,num_obj,phase,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ2,7,decision,0.4415279757348626,0.4598658484336173,,
DTLZ2,8,learning,0.37806405286285116,0.35830316828695896,,
DTLZ2,8,decision,0.1403457398818289,0.1329722009121504,,
DTLZ2,9,learning,1.2051687183012143,0.2701448682771218,,
DTLZ2,9,decision,5.385221426546216,1.355879730676425,,
DTLZ3,3,learning,0.11535587488974074,0.19923519460384664,34.614037181703125,33.66634624734445
DTLZ3,3,decision,0.020415174760166,0.029420718326028373,25.840872610977996,25.893246969118028
DTLZ3,4,learning,0.2688653771427596,0.3603791185830164,,
DTLZ3,4,decision,0.4289303644192435,0.06137516024996757,,
DTLZ3,5,learning,0.5905772746673551,1.3052621885933775,,
DTLZ3,5,decision,0.120750551802464,0.11914801279275147,,
DTLZ3,6,learning,0.3792242935311094,0.3511018893350546,,
DTLZ3,6,decision,0.11024696885163823,0.1508708258715421,,
DTLZ3,7,learning,1.8860068743887033,0.5817330533489138,,
DTLZ3,7,decision,0.35716587420554824,0.716150458310985,,
DTLZ3,8,learning,0.978007019774896,0.876046230364139,,
DTLZ3,8,decision,0.4865818345361458,0.3299708811646448,,
DTLZ3,9,learning,0.5670213033655228,0.9974029623416518,,
DTLZ3,9,decision,0.18808447637950937,1.5064129405372886,,
DTLZ4,3,learning,0.10400958959065988,0.04771111441837508,33.61960837890728,34.14614760737672
DTLZ4,3,decision,0.01812436737314991,0.029786075376457118,25.860022375825423,25.8485193576321
DTLZ4,4,learning,0.21317447792938232,0.1869155930780213,,
DTLZ4,4,decision,0.09624774104509018,0.05161744272771182,,
DTLZ4,5,learning,0.4131133619593003,0.4062828355004237,,
DTLZ4,5,decision,0.932327960706904,1.0226462238282983,,
DTLZ4,6,learning,0.7000138781420886,0.5969944207048782,,
DTLZ4,6,decision,1.0430972294490937,0.9783787789410334,,
DTLZ4,7,learning,1.8003677928389743,1.1928733057622452,,
DTLZ4,7,decision,1.260797766693988,1.0059362142356525,,
DTLZ4,8,learning,0.9845352445857909,0.7630696249879684,,
DTLZ4,8,decision,1.3268257590687047,1.1592780656736716,,
DTLZ4,9,learning,0.35991092207904735,0.33476671285262627,,
DTLZ4,9,decision,0.2842580722116449,0.2421814768990717,,
DTLZ1,3,learning,2.4630391892467656,2.224736775481004,32.010667049656156,33.309525932768615
DTLZ1,3,decision,1.8080037541295193,1.6965120913364675,23.913888611212272,24.853620564475577
DTLZ1,4,learning,2.81795330043571,2.7432566005316277,,
DTLZ1,4,decision,2.3399839162896257,2.3512881504043084,,
DTLZ1,5,learning,2.8445221766466515,2.2678551812068397,,
DTLZ1,5,decision,2.0023050704758583,2.3721899917591958,,
DTLZ1,6,learning,2.8419344644333955,2.694351259738998,,
DTLZ1,6,decision,2.424527905832794,2.388560495646913,,
DTLZ1,7,learning,3.356851620916366,2.679798880684669,,
DTLZ1,7,decision,2.6007800698485966,2.6913532152580792,,
DTLZ1,8,learning,2.971607052419627,3.1602102756703,,
DTLZ1,8,decision,2.1774173790509384,2.223871016470243,,
DTLZ1,9,learning,3.29535423918053,2.5222153696372267,,
DTLZ1,9,decision,2.1413745136533646,2.547444506271043,,
DTLZ2,3,learning,0.16914585663671278,0.1498162590638739,33.407175516096295,33.53555866133743
DTLZ2,3,decision,0.017814544132129656,0.03033495525585391,25.865545918007406,25.89553796321087
